Altium Designer Pick and Place Locations
C:\Users\ldgau\AppData\Local\TempReleases\Snapshot\1\Sources\REV Project_PCB_Rev.Project_SCH_Rev (2021-01-11)\04 - ASSEMBLY\HIVE_SIGHT_PCB PNP XY REV Project_PCB_Rev.Project_SCH_Rev.csv

========================================================================================================================
File Design Information:

Date:       11-01-21
Time:       08:18
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Description","Package","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Assembly Note","Assembly Type","Polarized","Manufacturer #1","Part Number #1","Supplier 1","Supplier Part Number 1","HelpURL"
"U1","REG_DC DC CONVERTER 3.3V 5W_9-PowerTFQFN","9-PowerTFQFN","TopLayer","1113,915","2980,626","90","","SMD","Yes","Torex Semiconductor Ltd","XCL214B333DR","Digi-Key","893-1218-1-ND","https://www.torexsemi.com/file/xcl213/XCL213-XCL214.pdf"
"J2","CON - HDR 100 MIL 3 POS - TH","3-TH","TopLayer","655,997","2691,641","270","","TH","NO","Samtec","TSW-103-07-G-S","Samtec","TSW-103-07-G-S","http://suddendocs.samtec.com/catalog_english/tsw_th.pdf"
"J1","CON - HDR 100 MIL 3 POS - TH","3-TH","TopLayer","992,144","3548,297","180","","TH","NO","Samtec","TSW-103-07-G-S","Samtec","TSW-103-07-G-S","http://suddendocs.samtec.com/catalog_english/tsw_th.pdf"
"U12","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","10-VSSOP","TopLayer","1935,311","3033,654","360","","SMD","YES","Texas Instruments","TMUX154EDGSR","Digi-Key","296-48347-1-ND","https://www.ti.com/lit/ds/symlink/tmux154e.pdf?HQS=TI-null-null-digikeymode-df-pf-null-wwe&ts=1602037764538"
"J6","CON - CONN SHUNT - MEC","MEC","TopLayer","-22066,681","-21328,661","270","","MANUAL","NO","Samtec Inc.","SNT-100-BK-T-H","Digi-Key","SAM8972-ND","http://suddendocs.samtec.com/catalog_english/snt.pdf"
"J3","CON - CONN SHUNT - MEC","MEC","TopLayer","-22066,681","-21328,661","180","","MANUAL","NO","Samtec Inc.","SNT-100-BK-T-H","Digi-Key","SAM8972-ND","http://suddendocs.samtec.com/catalog_english/snt.pdf"
"J4","CON - CONN SHUNT - MEC","MEC","TopLayer","-22066,681","-21328,661","270","","MANUAL","NO","Samtec Inc.","SNT-100-BK-T-H","Digi-Key","SAM8972-ND","http://suddendocs.samtec.com/catalog_english/snt.pdf"
"U6","LOG_NAND - GATE NAND 2CH 2-INP - 8-VSSOP","8-VSSOP","TopLayer","1821,212","1002,657","90","","SMD","Yes","Texas Instruments","SN74LVC2G00DCUR","Digi-key","296-13258-1-ND","https://www.ti.com/lit/ds/symlink/sn74lvc2g00.pdf?HQS=TI-null-null-alldatasheets-df-pf-SEP-wwe"
"U7","LOG_FLIPFLOP - Single D flip-flop with Asynchronous clear - SOT-363","SOT-363","TopLayer","2048,827","1011,019","270","","SMD","Yes","Texas Instruments","SN74LVC1G175DCKR","Digi-Key","296-16998-1-ND","https://www.ti.com/lit/ds/symlink/sn74lvc1g175.pdf?ts=1594769483993&ref_url=https%253A%252F%252Fwww.google.com%252F"
"D21","LED - GREEN DIFFUSED 0603 SMD - 0603","0603","TopLayer","1086,306","2385,182","360","","SMD","Yes","Rohm Semiconductor","SML-D12P8WT86","Digi-Key","511-1579-2-ND","https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_mono/sml-d12x8_d13x8-e.pdf"
