Altium Designer Pick and Place Locations
C:\Users\ldgau\Desktop\SwarmUS_ALTIUM\Electrical\02 - HIVE_BOARD\01 - SCHEMAS ET PCB\99 - WORKING COPY\Project_Outputs\REV Project_PCB_Rev.Project_SCH_Rev (2021-07-06)\04 - ASSEMBLY\HIVE_BOARD_PANEL PNP XY REV Project_PCB_Rev.Project_SCH_Rev.csv

========================================================================================================================
File Design Information:

Date:       06-07-21
Time:       12:58
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Description","Layer","Center-X(mil)","Center-Y(mil)","Rotation"
"U1","REG_DC DC CONVERTER 3.3V 5W_9-PowerTFQFN","TopLayer","9940,371","2476,155","180"
"U1","REG_DC DC CONVERTER 3.3V 5W_9-PowerTFQFN","TopLayer","6868,008","2493,491","180"
"U1","REG_DC DC CONVERTER 3.3V 5W_9-PowerTFQFN","TopLayer","6868,008","4844,406","180"
"X3","CRY - 32.768KHZ tol:20ppm  - 2-SMD","TopLayer","1326,702","2424,252","90"
"U9","USB Hub Controller USB 2.0 USB Interface 28-QFN","TopLayer","1857,426","2314,078","270"
"RX1","CON - HDR 2 position 0.100" - TH","TopLayer","10394,449","4770,892","90"
"TX1","CON - HDR 2 position 0.100" - TH","TopLayer","10394,449","4498,574","90"
"TX2","CON - HDR 2 position 0.100" - TH","TopLayer","10394,449","3681,622","270"
"D","CON - HDR 2 position 0.100" - TH","TopLayer","10394,213","4231,496","90"
"RX2","CON - HDR 2 position 0.100" - TH","TopLayer","10394,449","3953,939","270"
"U2","POW - Programmable-Delay Supervisory Circuit Open Drain - 6WSON","TopLayer","9774,753","2459,660","210"
"U2","POW - Programmable-Delay Supervisory Circuit Open Drain - 6WSON","TopLayer","6702,391","2476,996","210"
"U2","POW - Programmable-Delay Supervisory Circuit Open Drain - 6WSON","TopLayer","6702,391","4827,911","210"
"U10","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","10878,338","1877,654","180"
"U9","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","11259,616","1857,494","180"
"U10","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","7805,976","1894,990","180"
"U9","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","8187,253","1874,830","180"
"U10","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","7805,976","4245,905","180"
"U9","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","8187,253","4225,745","180"
"TP12","TPO - TH round 0.7mm double - 2-SMD","TopLayer","2440,249","3313,801","180"
"TP10","TPO - TH round 0.7mm double - 2-SMD","TopLayer","2119,491","2596,536","360"
"TP9","TPO - TH round 0.7mm double - 2-SMD","TopLayer","1923,625","2598,774","360"
"TP8","TPO - TH round 0.7mm double - 2-SMD","TopLayer","1927,545","2066,666","270"
"SYNC","TPO - TH round 0.7mm double - 2-SMD","TopLayer","9522,096","2164,733","90"
"CLK","TPO - TH round 0.7mm double - 2-SMD","TopLayer","9679,249","2099,423","360"
"SYNC","TPO - TH round 0.7mm double - 2-SMD","TopLayer","6449,734","2182,069","90"
"CLK","TPO - TH round 0.7mm double - 2-SMD","TopLayer","6606,886","2116,759","360"
"SYNC","TPO - TH round 0.7mm double - 2-SMD","TopLayer","6449,734","4532,984","90"
"CLK","TPO - TH round 0.7mm double - 2-SMD","TopLayer","6606,886","4467,675","360"
"U33","LOG - 16-Bit I2C/SMBus, I/O Expander - 24-VQFN-EP","TopLayer","3961,574","2908,888","180"
"U20B","LOG_BUF - DUAL Buffer inverting Open Drain - SOT-363","TopLayer","2878,019","4336,441","270"
"U11B","LOG_BUF - DUAL Buffer inverting Open Drain - SOT-363","TopLayer","2169,358","4336,441","270"
"U20C","LOG_BUF - DUAL Buffer inverting Open Drain - SOT-363","TopLayer","4295,342","4336,441","270"
"U20A","LOG_BUF - DUAL Buffer inverting Open Drain - SOT-363","TopLayer","1460,696","4336,441","270"
