Altium Designer Pick and Place Locations
C:\Users\ldgau\Desktop\SwarmUS_ALTIUM\Electrical\02 - HIVE_BOARD\01 - SCHEMAS ET PCB\99 - WORKING COPY\PO\REV Project_PCB_Rev.Project_SCH_Rev (2021-07-13)\04 - ASSEMBLY\HIVE_BOARD_PANEL PNP XY REV Project_PCB_Rev.Project_SCH_Rev.csv

========================================================================================================================
File Design Information:

Date:       13-07-21
Time:       08:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Description","Layer","Center-X(mil)","Center-Y(mil)","Rotation"
"U1","REG_DC DC CONVERTER 3.3V 5W_9-PowerTFQFN","TopLayer","9033,363","2493,503","180"
"U1","REG_DC DC CONVERTER 3.3V 5W_9-PowerTFQFN","TopLayer","6474,308","2493,491","180"
"U1","REG_DC DC CONVERTER 3.3V 5W_9-PowerTFQFN","TopLayer","6474,308","5135,744","180"
"X3","CRY - 32.768KHZ tol:20ppm  - 2-SMD","TopLayer","1326,702","2424,252","90"
"U9","USB Hub Controller USB 2.0 USB Interface 28-QFN","TopLayer","1857,426","2314,078","270"
"RX1","CON - HDR 2 position 0.100" - TH","TopLayer","9487,441","5046,482","90"
"TX1","CON - HDR 2 position 0.100" - TH","TopLayer","9487,441","4774,165","90"
"TX2","CON - HDR 2 position 0.100" - TH","TopLayer","9487,441","3957,212","270"
"D","CON - HDR 2 position 0.100" - TH","TopLayer","9487,205","4507,087","90"
"RX2","CON - HDR 2 position 0.100" - TH","TopLayer","9487,441","4229,530","270"
"U2","POW - Programmable-Delay Supervisory Circuit Open Drain - 6WSON","TopLayer","8867,745","2477,008","210"
"U2","POW - Programmable-Delay Supervisory Circuit Open Drain - 6WSON","TopLayer","6308,690","2476,996","210"
"U2","POW - Programmable-Delay Supervisory Circuit Open Drain - 6WSON","TopLayer","6308,690","5119,250","210"
"U10","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","9971,330","1895,003","180"
"U9","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","10352,608","1874,843","180"
"U10","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","7412,275","1894,990","180"
"U9","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","7793,553","1874,830","180"
"U10","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","7412,275","4537,244","180"
"U9","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","7793,553","4517,084","180"
"TP12","TPO - TH round 0.7mm double - 2-SMD","TopLayer","2440,249","3313,801","180"
"TP10","TPO - TH round 0.7mm double - 2-SMD","TopLayer","2119,491","2596,536","360"
"TP9","TPO - TH round 0.7mm double - 2-SMD","TopLayer","1923,625","2598,774","360"
"TP8","TPO - TH round 0.7mm double - 2-SMD","TopLayer","1927,545","2066,666","270"
"SYNC","TPO - TH round 0.7mm double - 2-SMD","TopLayer","8615,088","2182,082","90"
"CLK","TPO - TH round 0.7mm double - 2-SMD","TopLayer","8772,241","2116,772","360"
"SYNC","TPO - TH round 0.7mm double - 2-SMD","TopLayer","6056,033","2182,069","90"
"CLK","TPO - TH round 0.7mm double - 2-SMD","TopLayer","6213,186","2116,759","360"
"SYNC","TPO - TH round 0.7mm double - 2-SMD","TopLayer","6056,033","4824,323","90"
"CLK","TPO - TH round 0.7mm double - 2-SMD","TopLayer","6213,186","4759,013","360"
"U33","LOG - 16-Bit I2C/SMBus, I/O Expander - 24-VQFN-EP","TopLayer","3961,574","2908,888","180"
"U20B","LOG_BUF - DUAL Buffer inverting Open Drain - SOT-363","TopLayer","2878,019","4336,441","270"
"U11B","LOG_BUF - DUAL Buffer inverting Open Drain - SOT-363","TopLayer","2169,358","4336,441","270"
"U20C","LOG_BUF - DUAL Buffer inverting Open Drain - SOT-363","TopLayer","4295,342","4336,441","270"
"U20A","LOG_BUF - DUAL Buffer inverting Open Drain - SOT-363","TopLayer","1460,696","4336,441","270"
"U11C","LOG_BUF - DUAL Buffer inverting Open Drain - SOT-363","TopLayer","3586,680","4336,441","270"
"U11A","LOG_BUF - DUAL Buffer inverting Open Drain - SOT-363","TopLayer","752,035","4336,441","270"
"U1","ARM® Cortex®-M7 series Microcontroller IC 32-Bit 550MHz 1MB (1M x 8) FLASH 564K RAM - 144-LQFP (20x20)","TopLayer","2882,920","2451,350","90"
"J17","CON - CONN SHUNT - MEC","TopLayer","-21672,979","-20344,409","180"
"J15","CON - CONN SHUNT - MEC","TopLayer","-21672,979","-20344,409","180"
"J13","CON - CONN SHUNT - MEC","TopLayer","-21672,979","-20344,409","180"
"J12","CON - CONN SHUNT - MEC","TopLayer","-21672,979","-20344,409","180"
"J10","CON - CONN SHUNT - MEC","TopLayer","-21672,979","-20344,409","180"
"U15","LOG_FLIPFLOP - Single D flip-flop with Asynchronous clear - SOT-363","TopLayer","8774,980","2212,657","180"
"U15","LOG_FLIPFLOP - Single D flip-flop with Asynchronous clear - SOT-363","TopLayer","6215,925","2212,645","180"
"U15","LOG_FLIPFLOP - Single D flip-flop with Asynchronous clear - SOT-363","TopLayer","6215,925","4854,899","180"
"MEC2","MEC- PEM SMD THREADED SPACER M3 - SMD","TopLayer","3473,472","3041,901","360"
"MEC1","MEC- PEM SMD THREADED SPACER M3 - SMD","TopLayer","2292,369","1860,799","360"
"D28","TVS - 3.3V 10.3V 600W - DO214AA","TopLayer","4280,525","2666,458","180"
"D20A","LED - RED DIFFUSED 0603 SMD - 0603","TopLayer","1623,931","3802,716","180"
"D20B","LED - RED DIFFUSED 0603 SMD - 0603","TopLayer","3041,254","3802,716","180"
"D20C","LED - RED DIFFUSED 0603 SMD - 0603","TopLayer","4458,577","3802,716","180"
"D14B","LED - RED DIFFUSED 0603 SMD - 0603","TopLayer","1989,379","3805,748","180"
"D14C","LED - RED DIFFUSED 0603 SMD - 0603","TopLayer","3406,702","3805,748","180"
"D14A","LED - RED DIFFUSED 0603 SMD - 0603","TopLayer","572,057","3805,748","180"
"D11","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","9222,540","994,123","60"
"D9","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","9315,731","940,402","60"
"D10","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","9270,949","967,233","60"
"D8","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","9798,680","1028,006","120"
"D7","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","9845,598","1051,563","120"
"D6","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","9888,849","1078,671","120"
"D11","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","6663,485","994,111","60"
"D9","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","6756,675","940,390","60"
"D10","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","6711,893","967,220","60"
"D8","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7239,625","1027,993","120"
"D7","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7286,543","1051,551","120"
"D6","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7329,794","1078,659","120"
"D11","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","6663,485","3636,365","60"
"D9","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","6756,675","3582,644","60"
"D10","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","6711,893","3609,474","60"
"D8","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7239,625","3670,247","120"
"D7","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7286,543","3693,804","120"
"D6","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","7329,794","3720,912","120"
"D17C","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","3406,702","3858,252","180"
"D17B","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1989,379","3858,252","180"
"D17A","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","572,056","3858,252","180"
"D19A","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1624,702","3854,252","180"
"D19B","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","3042,025","3854,252","180"
"D19C","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","4459,348","3854,252","180"
"D25","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","2701,233","1349,973","180"
"D24","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","2701,095","1164,448","180"
"D23","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","2701,095","1226,290","180"
"D22","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","2701,095","1288,131","180"
"D6","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","2701,095","1102,606","180"
