Altium Designer Pick and Place Locations
C:\Users\ldgau\Desktop\SwarmUS_ALTIUM\Electrical\04 - BEE_BOARD\01 - SCHEMAS ET PCB\99 - WORKING COPY\PO\REV Project_PCB_Rev.Project_SCH_Rev (2021-07-13)\04 - ASSEMBLY\BEE_BOARD_PCB PNP XY REV Project_PCB_Rev.Project_SCH_Rev.csv

========================================================================================================================
File Design Information:

Date:       13-07-21
Time:       07:56
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Description","Package","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Assembly Note","Assembly Type","Polarized","Manufacturer #1","Part Number #1","Supplier 1","Supplier Part Number 1","HelpURL"
"U1","REG_DC DC CONVERTER 3.3V 5W_9-PowerTFQFN","9-PowerTFQFN","TopLayer","597,007","454,087","90","","SMD","Yes","Torex Semiconductor Ltd","XCL214B333DR","Digi-Key","893-1218-1-ND","https://www.torexsemi.com/file/xcl213/XCL213-XCL214.pdf"
"U2","POW - Programmable-Delay Supervisory Circuit Open Drain - 6WSON","6-WSON","TopLayer","580,512","619,705","120","","SMD","Yes","Texas Instruments","TPS3808G33DRVR","Digi-Key","296-36792-1-ND","http://www.ti.com/lit/ds/symlink/tps3808.pdf"
"U10","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","10-VSSOP","TopLayer","-1,493","-483,880","90","","SMD","YES","Texas Instruments","TMUX154EDGSR","Digi-Key","296-48347-1-ND","https://www.ti.com/lit/ds/symlink/tmux154e.pdf?HQS=TI-null-null-digikeymode-df-pf-null-wwe&ts=1602037764538"
"U9","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","10-VSSOP","TopLayer","-21,654","-865,158","90","","SMD","YES","Texas Instruments","TMUX154EDGSR","Digi-Key","296-48347-1-ND","https://www.ti.com/lit/ds/symlink/tmux154e.pdf?HQS=TI-null-null-digikeymode-df-pf-null-wwe&ts=1602037764538"
"SYNC","TPO - TH round 0.7mm double - 2-SMD","2-SMD","TopLayer","285,586","872,362","360","","TH","-","-","-","-","-","-"
"CLK","TPO - TH round 0.7mm double - 2-SMD","2-SMD","TopLayer","220,276","715,209","270","","TH","-","-","-","-","-","-"
"U15","LOG_FLIPFLOP - Single D flip-flop with Asynchronous clear - SOT-363","SOT-363","TopLayer","316,161","712,470","90","","SMD","Yes","Texas Instruments","SN74LVC1G175DCKR","Digi-Key","296-16998-1-ND","https://www.ti.com/lit/ds/symlink/sn74lvc1g175.pdf?ts=1594769483993&ref_url=https%253A%252F%252Fwww.google.com%252F"
"D11","LED - GREEN DIFFUSED 0603 SMD - 0603","0603","TopLayer","-902,373","264,910","330","","SMD","Yes","Rohm Semiconductor","SML-D12P8WT86","Digi-Key","511-1579-2-ND","https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_mono/sml-d12x8_d13x8-e.pdf"
"D9","LED - GREEN DIFFUSED 0603 SMD - 0603","0603","TopLayer","-956,094","171,720","330","","SMD","Yes","Rohm Semiconductor","SML-D12P8WT86","Digi-Key","511-1579-2-ND","https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_mono/sml-d12x8_d13x8-e.pdf"
"D10","LED - GREEN DIFFUSED 0603 SMD - 0603","0603","TopLayer","-929,263","216,502","330","","SMD","Yes","Rohm Semiconductor","SML-D12P8WT86","Digi-Key","511-1579-2-ND","https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_mono/sml-d12x8_d13x8-e.pdf"
"D8","LED - GREEN DIFFUSED 0603 SMD - 0603","0603","TopLayer","-868,490","-311,230","30","","SMD","Yes","Rohm Semiconductor","SML-D12P8WT86","Digi-Key","511-1579-2-ND","https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_mono/sml-d12x8_d13x8-e.pdf"
"D7","LED - GREEN DIFFUSED 0603 SMD - 0603","0603","TopLayer","-844,933","-358,148","30","","SMD","Yes","Rohm Semiconductor","SML-D12P8WT86","Digi-Key","511-1579-2-ND","https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_mono/sml-d12x8_d13x8-e.pdf"
"D6","LED - GREEN DIFFUSED 0603 SMD - 0603","0603","TopLayer","-817,825","-401,399","30","","SMD","Yes","Rohm Semiconductor","SML-D12P8WT86","Digi-Key","511-1579-2-ND","https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_mono/sml-d12x8_d13x8-e.pdf"
"D1","TVS - BIDIR 5V 9.2V 600W - DO214AA","DO214AA","TopLayer","822,835","292,737","360","","SMD","NO","Littelfuse Inc.","SMBJ5.0A","Digi-Key","SMBJ5.0ALFCT-ND","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smbj_datasheet.pdf.pdf"
"R22","RES - 562R ±1% 0.063W, 1/16W Chip Resistor 0402","0402","TopLayer","532,480","179,134","270","","SMD","No","Stackpole Electronics Inc.","RMCF0402FT562R","Digi-Key","RMCF0402FT562RCT-ND","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf"
"R21","RES - 562R ±1% 0.063W, 1/16W Chip Resistor 0402","0402","TopLayer","536,072","107,297","240","","SMD","No","Stackpole Electronics Inc.","RMCF0402FT562R","Digi-Key","RMCF0402FT562RCT-ND","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf"
"R30","RES -  200k ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","0402","TopLayer","-533,823","-872,211","120","","SMD","No","Stackpole Electronics Inc.","RMCF0402FT200K","Digi-Key","RMCF0402FT200KCT-ND","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf"
"RS","RES - 0 ohm jumper 1/10W - 0603","0603","BottomLayer","960,366","5,476","360","","SMD","No","Yageo","RC0603JR-070RL","Digi-Key","311-0.0GRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R16","RES - 0 ohm jumper 1/10W - 0603","0603","TopLayer","476,378","327,756","270","DNI","SMD","No","Yageo","RC0603JR-070RL","Digi-Key","311-0.0GRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R15","RES - 0 ohm jumper 1/10W - 0603","0603","TopLayer","420,276","327,756","90","","SMD","No","Yageo","RC0603JR-070RL","Digi-Key","311-0.0GRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R14","RES - 0 ohm jumper 1/10W - 0603","0603","TopLayer","489,182","-188,401","90","","SMD","No","Yageo","RC0603JR-070RL","Digi-Key","311-0.0GRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R13","RES - 0 ohm jumper 1/10W - 0603","0603","TopLayer","430,118","-188,391","270","DNI","SMD","No","Yageo","RC0603JR-070RL","Digi-Key","311-0.0GRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R6","RES - 84R5 1% 1/16W - 0402","0402","TopLayer","484,038","-433,190","270","","SMD","No","Yageo","RC0402FR-0784R5L","Digi-Key","YAG3246CT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R5","RES - 84R5 1% 1/16W - 0402","0402","TopLayer","486,221","-531,496","270","","SMD","No","Yageo","RC0402FR-0784R5L","Digi-Key","YAG3246CT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R11","RES - 33 OHM 1% 1/16W - 0402","0402","TopLayer","123,993","-456,257","360","","SMD","NO","Yageo","RC0402FR-0733RL","Digi-Key","311-33.0LRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf"
"R10","RES - 33 OHM 1% 1/16W - 0402","0402","TopLayer","121,960","-505,534","360","","SMD","NO","Yageo","RC0402FR-0733RL","Digi-Key","311-33.0LRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf"
"R37","RES - 270R 1% 1/16W - 0402","0402","TopLayer","-154,579","467,475","180","","SMD","No","Yageo","RC0402FR-07270RL","Digi-Key","311-270LRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf"
"R20","RES - 1K OHM 1% 1/16W - 0402","0402","TopLayer","239,961","246,894","270","","SMD","NO","Yageo","RC0402FR-071KL","Digi-Key","311-1.00KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R19","RES - 1K OHM 1% 1/16W - 0402","0402","TopLayer","194,791","246,904","270","","SMD","NO","Yageo","RC0402FR-071KL","Digi-Key","311-1.00KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R7","RES - 1K OHM 1% 1/16W - 0402","0402","TopLayer","735,552","-635,104","150","","SMD","NO","Yageo","RC0402FR-071KL","Digi-Key","311-1.00KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R36","RES - 16k OHM 1% 1/16W - 0402","0402","TopLayer","-56,428","300,568","360","","SMD","NO","Yageo","RC0402FR-0716KL","Digi-Key","311-16.0KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R35","RES - 11K 1% 1/16W - 0402","0402","TopLayer","-0,143","206,907","180","","SMD","No","Yageo","RC0402FR-0711KL","Digi-Key","311-11.0KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R3","RES - 10K OHMS 1% 1/16W - 0402","0402","TopLayer","-1004,573","-156,346","180","","SMD","NO","Yageo","RC0402FR-0710KL","Digi-Key","311-10.0KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R41","RES - 10K OHMS 1% 1/16W - 0402","0402","TopLayer","-112,205","-849,862","90","","SMD","NO","Yageo","RC0402FR-0710KL","Digi-Key","311-10.0KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R24","RES - 10K OHMS 1% 1/16W - 0402","0402","TopLayer","167,765","852,677","90","","SMD","NO","Yageo","RC0402FR-0710KL","Digi-Key","311-10.0KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R12","RES - 10K OHMS 1% 1/16W - 0402","0402","TopLayer","76,157","-692,303","180","","SMD","NO","Yageo","RC0402FR-0710KL","Digi-Key","311-10.0KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R9","RES - 10K OHMS 1% 1/16W - 0402","0402","TopLayer","216,017","-687,295","180","","SMD","NO","Yageo","RC0402FR-0710KL","Digi-Key","311-10.0KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R39","RES - 10K OHMS 1% 1/16W - 0402","0402","TopLayer","-490,240","182,965","360","","SMD","NO","Yageo","RC0402FR-0710KL","Digi-Key","311-10.0KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R38","RES - 10K OHMS 1% 1/16W - 0402","0402","TopLayer","-507,740","264,463","360","","SMD","NO","Yageo","RC0402FR-0710KL","Digi-Key","311-10.0KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R23","RES - 10K OHMS 1% 1/16W - 0402","0402","TopLayer","97,950","-244,858","270","","SMD","NO","Yageo","RC0402FR-0710KL","Digi-Key","311-10.0KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R18","RES - 100R OHM 1% 1/16W - 0402","0402","TopLayer","333,661","265,748","180","","SMD","NO","Yageo","RC0402FR-07100RP","Digi-Key","YAG1248CT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R17","RES - 100R OHM 1% 1/16W - 0402","0402","TopLayer","288,386","38,386","360","","SMD","NO","Yageo","RC0402FR-07100RP","Digi-Key","YAG1248CT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R43","RES - 100K 1% 1/16W - 0402","0402","TopLayer","701,308","398,943","360","","SMD","No","Yageo","RC0402FR-07100KL","Digi-Key","311-100KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R42","RES - 100K 1% 1/16W - 0402","0402","TopLayer","463,591","661,463","120","","SMD","No","Yageo","RC0402FR-07100KL","Digi-Key","311-100KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R40","RES - 100K 1% 1/16W - 0402","0402","TopLayer","649,919","804,558","30","","SMD","No","Yageo","RC0402FR-07100KL","Digi-Key","311-100KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R31","RES - 100K 1% 1/16W - 0402","0402","TopLayer","-495,175","-938,478","120","","SMD","No","Yageo","RC0402FR-07100KL","Digi-Key","311-100KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R29","RES - 100K 1% 1/16W - 0402","0402","TopLayer","-574,196","-804,893","120","","SMD","No","Yageo","RC0402FR-07100KL","Digi-Key","311-100KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R28","RES - 100K 1% 1/16W - 0402","0402","TopLayer","-179,869","-905,889","300","","SMD","No","Yageo","RC0402FR-07100KL","Digi-Key","311-100KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R27","RES - 100K 1% 1/16W - 0402","0402","TopLayer","-215,608","-927,008","300","","SMD","No","Yageo","RC0402FR-07100KL","Digi-Key","311-100KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R26","RES - 100K 1% 1/16W - 0402","0402","TopLayer","-252,656","-689,207","360","","SMD","No","Yageo","RC0402FR-07100KL","Digi-Key","311-100KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R25","RES - 100K 1% 1/16W - 0402","0402","TopLayer","-132,452","-792,278","360","","SMD","No","Yageo","RC0402FR-07100KL","Digi-Key","311-100KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"R8","RES - 100K 1% 1/16W - 0402","0402","TopLayer","-441,079","-455,489","90","","SMD","No","Yageo","RC0402FR-07100KL","Digi-Key","311-100KLRCT-ND","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf"
"U11","TIM_BUF - Clock Translator IC 1:1 LVDS-LVCMOS -  8-SOIC","8-SOIC","TopLayer","288,319","-129,921","270","","SMD","Yes","Diodes Incorporated","PI6C49CB01Q3WEX","Digi-Key","31-PI6C49CB01Q3WEXCT-ND","https://www.diodes.com/assets/Datasheets/PI6C49CB01Q.pdf"
"U3","REG_DC DC CONVERTER 1.8V 1.8W_8-PowerTDFN","8-PowerTDFN","TopLayer","-820,957","441,051","150","","SMD","Yes","Murata Power Solutions Inc.","MYRGP180100W21RA","Digi-Key","811-MYRGP180100W21RACT-ND","https://www.murata.com/products/productdata/8807036026910/MYRGP-b-w.pdf?1583754814000"
"MB2","PNL - MOUSE BITES 100 MIL - 5-TH","","TopLayer","-1045,669","224,415","240","","NONE","","","","","",""
