Altium Designer Pick and Place Locations
C:\Users\ldgau\AppData\Local\TempReleases\Snapshot\2\Sources\REV Project_PCB_Rev.Project_SCH_Rev (2021-03-03)\04 - ASSEMBLY\UVLO_MODULE_PCB PNP XY REV Project_PCB_Rev.Project_SCH_Rev.csv

========================================================================================================================
File Design Information:

Date:       03-03-21
Time:       12:34
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Description","Package","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Assembly Note","Assembly Type","Polarized","Manufacturer #1","Part Number #1","Supplier 1","Supplier Part Number 1","HelpURL"
"U2","CMP - Comparator Window Open Drain - TSOT-23-6","TSOT-23-6","TopLayer","756,680","1287,570","180","","SMT","YES","Texas Instruments","TPS3700DDCR","Digi-Key","296-30395-2-ND","https://www.ti.com/lit/ds/symlink/tps3700.pdf?ts=1613994469122&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS3700%253Futm_source%253Dgoogle%2526utm_medium%253Dcpc%2526utm_campaign%253Dapp-null-null-GPN_EN-cpc-pf-google-wwe%2526utm_content%253DTPS3700%2526ds_k%253DTPS3700%2526DCM%253Dyes%2526gclid%253DEAIaIQobChMI6PCR77X97gIVzUeRBR1hwwWTEAAYASAAEgJJbfD_BwE%2526gclsrc%253Daw.ds"
"D4","TVS - TVS DIODE 5.5V 5.9V - SOT-23-3","SOT-23-3","TopLayer","2067,114","857,090","180","","SMD","No","Rohm Semiconductor","STZU6.2NT146","Digi-Key","846-STZU6.2NT146CT-ND","https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/discrete/diode/zener/stzu6.2nt146-e.pdf"
"D6","LED - GREEN DIFFUSED 0603 SMD - 0603","0603","BottomLayer","1943,403","127,243","360","","SMD","Yes","Rohm Semiconductor","SML-D12P8WT86","Digi-Key","511-1579-2-ND","https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_mono/sml-d12x8_d13x8-e.pdf"
"D2","LED - GREEN DIFFUSED 0603 SMD - 0603","0603","TopLayer","1943,403","127,243","360","","SMD","Yes","Rohm Semiconductor","SML-D12P8WT86","Digi-Key","511-1579-2-ND","https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_mono/sml-d12x8_d13x8-e.pdf"
"D3","TVS - BIDIR 5V 9.2V 600W - DO214AA","DO214AA","TopLayer","2051,339","1160,391","180","","SMD","NO","Littelfuse Inc.","SMBJ5.0CA","Digi-Key","SMBJ5.0CALFCT-ND","http://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smbj_datasheet.pdf.pdf"
"D1","TVS - DIODE 12V 19.6V - DO-214AA","DO-214AA","TopLayer","925,207","166,571","270","","SMD","Yes","Vishay Semiconductor Diodes Division","SMBJ12D-M3/H","Digi-Key","SMBJ12D-M3/HGICT-ND","http://www.vishay.com/docs/87606/87606.pdf"
"ISO1","ISO - DGTL ISO 600V 2CH I2C  - 8-SOIC","8-SOIC","TopLayer","1777,255","777,393","270","","SMD","YES","Silicon Labs","SI8602AC-B-IS","Digi-Key","336-2050-5-ND","https://www.silabs.com/documents/public/data-sheets/Si860x.pdf"
"Q1","TRX - PMOS 30V 7.6A - SOT-23","SOT-23","TopLayer","1301,034","505,931","90","","SMD","Yes","Vishay Siliconix","SI2369DS-T1-GE3","Digi-Key","SI2369DS-T1-GE3CT-ND","https://www.vishay.com/docs/62865/si2369d.pdf"
"Q4","TRX - MOSFET N-CH 60V 3A - SOT-23","SOT-23","TopLayer","1020,224","510,026","270","","SMD","Yes","Micro Commercial Co","SI2310-TP","Digi-Key","SI2310-TPMSCT-ND","https://www.mccsemi.com/pdf/Products/SI2310(SOT-23)-A.pdf"
"Q5","TRX - MOSFET N-CH 60V 3A - SOT-23","SOT-23","TopLayer","1114,780","2231,380","180","","SMD","Yes","Micro Commercial Co","SI2310-TP","Digi-Key","SI2310-TPMSCT-ND","https://www.mccsemi.com/pdf/Products/SI2310(SOT-23)-A.pdf"
"Q3","TRX - MOSFET N-CH 60V 3A - SOT-23","SOT-23","TopLayer","1668,654","1452,663","360","","SMD","Yes","Micro Commercial Co","SI2310-TP","Digi-Key","SI2310-TPMSCT-ND","https://www.mccsemi.com/pdf/Products/SI2310(SOT-23)-A.pdf"
