"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J1.18","PCB_EDGE_1MM","354.331mil","1608.268mil","354.331mil","1614.173mil","354.331mil","1602.362mil","T","0.00","EDGE_PIN"
"C33","C0603","170.275mil","1210.63mil","170.276mil","1210.63mil","199.803mil","1210.63mil","T","180.00","10uF"
"C32","C0603","250mil","1262.795mil","250mil","1262.795mil","250mil","1233.268mil","T","90.00","10uF"
"C83","C0402","220.472mil","472.441mil","220.472mil","472.441mil","200.787mil","472.441mil","T","360.00","1nF"
"R12","R0201","117.441mil","577.756mil","117.441mil","577.756mil","117.441mil","588.976mil","T","270.00","0R"
"R11","R0201","200.787mil","1062.008mil","200.787mil","1062.008mil","189.567mil","1062.008mil","T","360.00","0R"
"L13","L0402","164.37mil","595.472mil","164.37mil","595.472mil","184.37mil","595.472mil","T","180.00","BLM15HG601SN1D"
"R9","R0201","196.85mil","620.079mil","196.85mil","620.079mil","185.63mil","620.079mil","T","360.00","10R"
"C65","C0402","164.685mil","565.945mil","164.685mil","565.945mil","184.37mil","565.945mil","T","180.00","1uF"
"R7","R0201","200.788mil","1035.434mil","200.788mil","1035.434mil","189.567mil","1035.434mil","T","0.00","0R"
"J1.47","PCB_EDGE_1MM","826.772mil","5.906mil","826.772mil","0.001mil","826.772mil","11.812mil","T","180.00","EDGE_PIN"
"J1.24","PCB_EDGE_1MM","118.111mil","1608.268mil","118.111mil","1614.174mil","118.111mil","1602.363mil","T","360.00","EDGE_PIN"
"J1.33","PCB_EDGE_1MM","275.591mil","5.906mil","275.591mil","0.001mil","275.591mil","11.812mil","T","180.00","EDGE_PIN"
"TP4","TP_40S","867.339mil","393mil","867.339mil","393mil","867.339mil","393mil","B","180.00","TP"
"ANT2","ANT","1742.126mil","405.661mil","1742.126mil","405.661mil","1742.126mil","405.661mil","T","0.00","ant_uwb"
"ANT1","ANT","1742.126mil","1208.661mil","1742.126mil","1208.661mil","1742.126mil","1208.661mil","T","0.00","ant_uwb"
"X3","CAT567","140.748mil","502.953mil","140.748mil","502.953mil","118.11mil","536.417mil","T","270.00","RST2016FP"
"J6","RF_SWITCH_2P3X2P3","1119.339mil","406mil","1119.339mil","406mil","1157.134mil","406mil","T","360.00","coswitch"
"J5","RF_SWITCH_2P3X2P3","1118.536mil","972.075mil","1118.536mil","972.075mil","1156.331mil","972.075mil","T","0.00","coswitch"
"TP_VDIG2","TP_40S","572.339mil","343mil","572.339mil","343mil","572.339mil","343mil","B","90.00","TP"
"TP_VDIG1","TP_40S","575.787mil","882.874mil","575.787mil","882.874mil","575.787mil","882.874mil","B","90.00","TP"
"TP8","TP_40S","532.339mil","524mil","532.339mil","524mil","532.339mil","524mil","B","90.00","TP"
"TP7","TP_40S","587.598mil","410.433mil","587.598mil","410.433mil","587.598mil","410.433mil","B","90.00","TP"
"TP6","TP_40S","531.339mil","477mil","531.339mil","477mil","531.339mil","477mil","B","90.00","TP"
"TP5","TP_40S","844.488mil","960.63mil","844.488mil","960.63mil","844.488mil","960.63mil","B","90.00","TP"
"TP3","TP_40S","555.119mil","1078.741mil","555.119mil","1078.741mil","555.119mil","1078.741mil","B","90.00","TP"
"TP2","TP_40S","586.615mil","976.379mil","586.615mil","976.379mil","586.615mil","976.379mil","B","90.00","TP"
"TP1","TP_40S","535.433mil","1019.686mil","535.433mil","1019.686mil","535.433mil","1019.686mil","B","90.00","TP"
"X1","ABM10","940.945mil","1527.56mil","940.945mil","1527.56mil","973.426mil","1552.166mil","T","180.00","32.00MHz - 2CAS"
"R45","R0201","334.646mil","841.535mil","334.646mil","841.535mil","323.425mil","841.535mil","T","360.00","DNF"
"R44","R0201","311.024mil","335.63mil","311.024mil","335.63mil","299.803mil","335.63mil","T","360.00","DNF"
"R43","R0201","312.008mil","358.268mil","312.008mil","358.268mil","300.787mil","358.268mil","T","360.00","0R"
"R6","R0201-C","875.418mil","196.24mil","875.418mil","196.24mil","863.607mil","196.24mil","T","0.00","270R"
"R5","R0201-C","756.339mil","132.76mil","756.339mil","132.76mil","756.339mil","120.949mil","T","90.00","16K"
"R4","R0201-C","681.143mil","132.76mil","681.143mil","132.76mil","681.143mil","120.949mil","T","90.00","11K"
"R3","R0201-C","864.536mil","760.075mil","864.536mil","760.075mil","852.725mil","760.075mil","T","360.00","270R"
"R2","R0201-C","757.536mil","699.075mil","757.536mil","699.075mil","757.536mil","687.264mil","T","90.00","16K"
"R1","R0201-C","680.34mil","698.835mil","680.34mil","698.835mil","680.34mil","687.024mil","T","90.00","11K"
"L11","INDC1005X05N","527.559mil","1535.433mil","527.559mil","1535.433mil","508.858mil","1535.433mil","T","360.00","15nH"
"L10","INDC2016X10N","74.804mil","1279.528mil","74.804mil","1279.528mil","74.804mil","1307.087mil","T","270.00","CKP20162R2M-T"
"L9","L0201","956.693mil","1389.764mil","956.693mil","1389.764mil","944.882mil","1389.764mil","T","360.00","3.3nH"
"L6","L0402","991.143mil","497.76mil","991.143mil","497.76mil","991.143mil","477.76mil","T","90.00","BLM15HG601SN1D"
"L5","L0402","876.143mil","502.76mil","876.143mil","502.76mil","876.143mil","482.76mil","T","90.00","BLM15HG601SN1D"
"L2","L0402","990.34mil","1063.835mil","990.34mil","1063.835mil","990.34mil","1043.835mil","T","90.00","BLM15HG601SN1D"
"L1","L0402","878.937mil","1068.898mil","878.937mil","1068.898mil","878.937mil","1048.898mil","T","90.00","BLM15HG601SN1D"
"C105","C0201","283.465mil","239.173mil","283.465mil","239.173mil","295.276mil","239.173mil","T","180.00","100nF"
"C104","C0201","70.867mil","204.725mil","70.867mil","204.725mil","70.867mil","216.536mil","T","270.00","100nF"
"C99","C0201","551.181mil","1449.803mil","551.181mil","1449.803mil","539.37mil","1449.803mil","T","360.00","12pF"
"C98","C0201","905.512mil","1437.008mil","905.512mil","1437.008mil","917.323mil","1437.008mil","T","180.00","100pF"
"C97","C0201","732.284mil","1172.244mil","732.284mil","1172.244mil","744.095mil","1172.244mil","T","180.00","100nF"
"C96","C0603","397.638mil","1232.284mil","397.638mil","1232.284mil","397.638mil","1261.812mil","T","270.00","4.7uF"
"C95","C0603","1000mil","1456.693mil","1000mil","1456.693mil","1029.528mil","1456.693mil","T","180.00","4.7uF"
"C94","C0201","905.512mil","1330.709mil","905.512mil","1330.709mil","917.323mil","1330.709mil","T","180.00","100pF"
"C93","C0201","381.89mil","751.969mil","381.89mil","751.969mil","381.89mil","740.158mil","T","90.00","100nF"
