Altium Designer Pick and Place Locations
C:\Users\ldgau\AppData\Local\TempReleases\Snapshot\2\Sources\REV Project_PCB_Rev.Project_SCH_Rev (2021-01-10)\04 - ASSEMBLY\HIVE_SIGHT_PANEL PNP XY REV Project_PCB_Rev.Project_SCH_Rev.csv

========================================================================================================================
File Design Information:

Date:       10-01-21
Time:       21:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Description","Layer","Center-X(mil)","Center-Y(mil)","Rotation"
"U1","REG_DC DC CONVERTER 3.3V 5W_9-PowerTFQFN","TopLayer","-1694,178","2980,248","90"
"U1","REG_DC DC CONVERTER 3.3V 5W_9-PowerTFQFN","TopLayer","1161,730","2980,248","90"
"J2","CON - HDR 100 MIL 3 POS - TH","TopLayer","-2152,096","2691,263","270"
"J1","CON - HDR 100 MIL 3 POS - TH","TopLayer","-1815,949","3547,919","180"
"J2","CON - HDR 100 MIL 3 POS - TH","TopLayer","703,812","2691,263","270"
"J1","CON - HDR 100 MIL 3 POS - TH","TopLayer","1039,959","3547,919","180"
"U12","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","-872,782","3033,276","360"
"U12","LOG_MUX -  SWITCH SPDT DUAL 2:1 - 10-VSSOP","TopLayer","1983,126","3033,276","360"
"J6","CON - CONN SHUNT - MEC","TopLayer","-24874,774","-21329,039","270"
"J3","CON - CONN SHUNT - MEC","TopLayer","-24874,774","-21329,039","180"
"J4","CON - CONN SHUNT - MEC","TopLayer","-24874,774","-21329,039","270"
"J6","CON - CONN SHUNT - MEC","TopLayer","-22018,866","-21329,039","270"
"J3","CON - CONN SHUNT - MEC","TopLayer","-22018,866","-21329,039","180"
"J4","CON - CONN SHUNT - MEC","TopLayer","-22018,866","-21329,039","270"
"U6","LOG_NAND - GATE NAND 2CH 2-INP - 8-VSSOP","TopLayer","-986,881","1002,279","90"
"U6","LOG_NAND - GATE NAND 2CH 2-INP - 8-VSSOP","TopLayer","1869,027","1002,279","90"
"U7","LOG_FLIPFLOP - Single D flip-flop with Asynchronous clear - SOT-363","TopLayer","-759,266","1010,641","270"
"U7","LOG_FLIPFLOP - Single D flip-flop with Asynchronous clear - SOT-363","TopLayer","2096,642","1010,641","270"
"D21","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-1721,787","2384,804","360"
"D13","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-1270,162","1469,702","270"
"D9","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-1000,056","1470,059","270"
"D12","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-1200,303","1470,060","270"
"D8","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-931,073","1469,310","270"
"D11","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-1134,066","1469,311","270"
"D7","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-866,247","1469,310","270"
"D10","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-1067,387","1469,310","270"
"D6","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-798,326","1469,702","270"
"D20","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-1353,096","3286,614","90"
"D19","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-1445,182","3285,253","90"
"D5","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-1377,226","2731,259","180"
"D4","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-1377,226","2916,944","180"
"D3","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-1377,226","2824,102","180"
"D17","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","-1826,794","726,000","90"
"D21","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1134,121","2384,804","360"
"D13","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1585,746","1469,702","270"
"D9","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1855,852","1470,059","270"
"D12","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1655,605","1470,060","270"
"D8","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1924,834","1469,310","270"
"D11","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1721,841","1469,311","270"
"D7","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1989,661","1469,310","270"
"D10","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1788,521","1469,310","270"
"D6","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","2057,582","1469,702","270"
"D20","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1502,812","3286,614","90"
"D19","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1410,726","3285,253","90"
"D5","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1478,682","2731,259","180"
"D4","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1478,682","2916,944","180"
"D3","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1478,682","2824,102","180"
"D17","LED - GREEN DIFFUSED 0603 SMD - 0603","TopLayer","1029,114","726,000","90"
"D15","TVS - DIODE 5V 9.1V- DO-214AA","TopLayer","-1286,956","3920,375","90"
"D14","TVS - DIODE 5V 9.1V- DO-214AA","TopLayer","-2052,093","3741,622","180"
"D15","TVS - DIODE 5V 9.1V- DO-214AA","TopLayer","1568,952","3920,375","90"
"D14","TVS - DIODE 5V 9.1V- DO-214AA","TopLayer","803,815","3741,622","180"
"Q3","TRX - PMOS 30V 7.6A - SOT-23","TopLayer","-1721,967","3337,063","360"
"Q2","TRX - PMOS 30V 7.6A - SOT-23","TopLayer","-1723,306","3195,534","270"
"Q1","TRX - PMOS 30V 7.6A - SOT-23","TopLayer","-1917,963","3336,780","90"
"Q3","TRX - PMOS 30V 7.6A - SOT-23","TopLayer","1133,941","3337,063","360"
"Q2","TRX - PMOS 30V 7.6A - SOT-23","TopLayer","1132,602","3195,534","270"
"Q1","TRX - PMOS 30V 7.6A - SOT-23","TopLayer","937,945","3336,780","90"
"R29","RES - 0 ohm jumper 1/10W - 0603","TopLayer","-1223,468","4132,099","90"
"R29","RES - 0 ohm jumper 1/10W - 0603","TopLayer","1632,440","4132,099","90"
"R54","RES - 6.2R 1% 1/16W - 0402","BottomLayer","-1527,760","1493,175","180"
"R36","RES - 6.2R 1% 1/16W - 0402","TopLayer","-1970,616","711,128","180"
"R33","RES - 6.2R 1% 1/16W - 0402","TopLayer","-1888,013","343,962","90"
"R54","RES - 6.2R 1% 1/16W - 0402","BottomLayer","1328,148","1493,175","180"
"R36","RES - 6.2R 1% 1/16W - 0402","TopLayer","885,292","711,128","180"
"R33","RES - 6.2R 1% 1/16W - 0402","TopLayer","967,895","343,962","90"
"R34","RES - 499 OHM 1% 1/16W - 0402","TopLayer","-2308,403","662,694","180"
"R34","RES - 499 OHM 1% 1/16W - 0402","TopLayer","547,505","662,694","180"
"R12","RES - 270R 1% 1/16W - 0402","TopLayer","-811,853","280,625","90"
"R19","RES - 270R 1% 1/16W - 0402","TopLayer","-1409,359","278,753","90"
"R12","RES - 270R 1% 1/16W - 0402","TopLayer","2044,055","280,625","90"
"R19","RES - 270R 1% 1/16W - 0402","TopLayer","1446,549","278,753","90"
"R24","RES - 20K 1% 1/16W  - 0402","TopLayer","-1250,847","839,552","360"
"R22","RES - 20K 1% 1/16W  - 0402","TopLayer","-1235,905","896,202","90"
"R42","RES - 20K 1% 1/16W  - 0402","TopLayer","-1257,407","3414,184","360"
"R31","RES - 20K 1% 1/16W  - 0402","TopLayer","-2271,982","321,059","180"
"R24","RES - 20K 1% 1/16W  - 0402","TopLayer","1605,061","839,552","360"
"R22","RES - 20K 1% 1/16W  - 0402","TopLayer","1620,004","896,202","90"
"R42","RES - 20K 1% 1/16W  - 0402","TopLayer","1598,501","3414,184","360"
"R31","RES - 20K 1% 1/16W  - 0402","TopLayer","583,926","321,059","180"
"R46","RES - 1K OHM 1% 1/16W - 0402","TopLayer","-1273,093","2247,881","90"
"R28","RES - 1K OHM 1% 1/16W - 0402","TopLayer","-1167,070","2637,277","360"
"R27","RES - 1K OHM 1% 1/16W - 0402","TopLayer","-1093,172","2637,277","180"
"R5","RES - 1K OHM 1% 1/16W - 0402","TopLayer","-1598,020","3234,274","360"
"R38","RES - 1K OHM 1% 1/16W - 0402","TopLayer","-1644,954","65,257","270"
"R4","RES - 1K OHM 1% 1/16W - 0402","TopLayer","-2015,021","3214,947","270"
"R1","RES - 1K OHM 1% 1/16W - 0402","TopLayer","-1820,634","3315,540","90"
"R40","RES - 1K OHM 1% 1/16W - 0402","TopLayer","-1257,498","3367,818","360"
"R46","RES - 1K OHM 1% 1/16W - 0402","TopLayer","1582,815","2247,881","90"
"R28","RES - 1K OHM 1% 1/16W - 0402","TopLayer","1688,838","2637,277","360"
"R27","RES - 1K OHM 1% 1/16W - 0402","TopLayer","1762,736","2637,277","180"
"R5","RES - 1K OHM 1% 1/16W - 0402","TopLayer","1257,888","3234,274","360"
"R38","RES - 1K OHM 1% 1/16W - 0402","TopLayer","1210,954","65,257","270"
"R4","RES - 1K OHM 1% 1/16W - 0402","TopLayer","840,887","3214,947","270"
"R1","RES - 1K OHM 1% 1/16W - 0402","TopLayer","1035,274","3315,540","90"
"R40","RES - 1K OHM 1% 1/16W - 0402","TopLayer","1598,410","3367,818","360"
"R17","RES - 16k OHM 1% 1/16W - 0402","TopLayer","-1495,155","490,225","180"
"R10","RES - 16k OHM 1% 1/16W - 0402","TopLayer","-908,231","491,608","180"
"R17","RES - 16k OHM 1% 1/16W - 0402","TopLayer","1360,753","490,225","180"
